link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/kawalerka-na-saskiej-kepie-calkowicie-umeblowana-ID4xEBj,605181819,2500,"ul. Międzynarodowa, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",29m²,1,miejskie,parter/9,455 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,1970,nie,blok,plastikowe,,piwnica | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-2-pokoje-z-balkonem-i-garazem-ID4xEng,991181819,3800,"Kamionek, Praga-Południe, Warszawa, mazowieckie",38m²,2,miejskie,5/5,680 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2025,tak,blok,plastikowe,monitoring / ochrona,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/przestronna-kawalerka-przy-jeziorku-goclowskim-ul-rozlucka-ID4xILS,477181819,2600,"ul. Rozłucka, Grochów, Praga-Południe, Warszawa, mazowieckie",34m²,1,miejskie,2/10,0 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,,tak,blok,plastikowe,,balkon | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/3-pok-goclaw-idealna-komunikacja-obok-wal-miedzeszynski-ID4xILQ,935181819,3500,"ul. Eugeniusza Horbaczewskiego, Gocław, Praga-Południe, Warszawa, mazowieckie",56m²,3,miejskie,10/11,0 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,,tak,blok,plastikowe,,balkon | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/komfortowy-apartament-z-ogrodem-3-pokoje-grochow-ID3ukLe,818181819,4500,"ul. Obarowska, Grochów, Praga-Południe, Warszawa, mazowieckie",75m²,3,gazowe,1/1,210 zł/miesiąc,do zamieszkania,,,prywatny,,nie,dom wolnostojący,plastikowe,teren zamknięty,ogródek | garaż/miejsce parkingowe | piwnica | tylko dla niepalących | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/nowoczesna-kawalerka-bez-prowizji-przyjazna-dla-zwierzat-ID4xE9J,874181819,2780,"ul. Ostrobramska, Gocław, Praga-Południe, Warszawa, mazowieckie",25.1m²,1,brak informacji,4/8,220 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2025,tak,apartamentowiec,plastikowe,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/przytulna-kawalerka-o-pow-18-5m2-ID4xsxk,627181819,2300,"ul. Ostrobramska, Grochów, Praga-Południe, Warszawa, mazowieckie",18.5m²,1,miejskie,8/10,420 zł/miesiąc,do zamieszkania,,,prywatny,,tak,blok,,,tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/bez-prowizji-nowe-2-pokoje-z-balkonem-i-klimatyzacja-wifi-w-cenie-ID4xw8E,151181819,4110,"ul. Ostrobramska, Gocław, Praga-Południe, Warszawa, mazowieckie",38.6m²,2,miejskie,> 10/16,340 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2025,tak,apartamentowiec,plastikowe,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/goclaw-dla-singla-lub-pary-promocja-w-tresci-ID4vd9D,390181819,2800,"ul. Samolotowa, Gocław, Praga-Południe, Warszawa, mazowieckie",44.6m²,2,miejskie,brak informacji,625 zł/miesiąc,do zamieszkania,,,prywatny,1997,tak,,drewniane,,
https://www.otodom.pl/pl/oferta/jasne-4-pokojowe-mieszkanie-w-centrum-goclawia-wysoki-standard-ID4xBYD,966181820,5800,"ul. Awionetki RWD, Gocław, Praga-Południe, Warszawa, mazowieckie",75m²,4,miejskie,2/7,1 200 zł/miesiąc,do zamieszkania,,,prywatny,1980,tak,blok,plastikowe,,balkon | garaż/miejsce parkingowe | piwnica | oddzielna kuchnia | Wynajmę również studentom
