link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/3-pokoje-do-wlasnej-aranzacji-na-grochowie-ID4r63l,763181706,775000.0,"ul. Majdańska, Grochów, Praga-Południe, Warszawa, mazowieckie",62.5m²,3,miejskie,2/16,1 200 zł,do remontu,wtórny,brak informacji,biuro nieruchomości,1981,tak,blok,,monitoring / ochrona,balkon | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/2-pokoje-w-kamienicy-na-grochowie-ID4xs2T,630181706,545000.0,"ul. Podskarbińska, Grochów, Praga-Południe, Warszawa, mazowieckie",35.15m²,2,miejskie,3/3,550 zł,do remontu,wtórny,pełna własność,biuro nieruchomości,1938,nie,kamienica,,,
https://www.otodom.pl/pl/oferta/3-pok-po-remoncie-praga-poludnie-ID4xzmB,552181706,750000.0,"ul. Witolińska, Gocławek, Praga-Południe, Warszawa, mazowieckie",45.4m²,3,miejskie,9/15,650 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1978,tak,blok,,monitoring / ochrona,balkon | piwnica
https://www.otodom.pl/pl/oferta/1-2-pokoje-przy-rondzie-wiatraczna-ID4xLew,700181706,599000.0,"al. Aleja Jerzego Waszyngtona, Grochów, Praga-Południe, Warszawa, mazowieckie",39.11m²,1,miejskie,3/5,610 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1959,tak,kamienica,,,piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/apartament-z-widokiem-na-panorame-warszawy-104-m2-ID4xjCD,967181706,2490000.0,"Gocław, Praga-Południe, Warszawa, mazowieckie",104m²,4,miejskie,> 10/17,1 200 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2022,tak,apartamentowiec,plastikowe,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/idealne-2-pokoje-balkon-garaz-komorka-ID4x9Re,829181706,857990.0,"ul. Jana Nowaka-Jeziorańskiego, Gocław, Praga-Południe, Warszawa, mazowieckie",35.02m²,2,brak informacji,6/7,600 zł,brak informacji,wtórny,pełna własność,biuro nieruchomości,2009,nie,,,,
https://www.otodom.pl/pl/oferta/gotowe-do-wprowadzenia-2-pokojowe-w-apartamentowcu-ID4xuKd,604181707,850000.0,"ul. Celownicza, Gocław, Praga-Południe, Warszawa, mazowieckie",42m²,2,miejskie,9/17,560 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2021,nie,apartamentowiec,plastikowe,monitoring / ochrona,balkon | taras | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/bezposrednio-3-pokoje-piekny-widok-na-warszawe-park-skaryszewski-ID4v7KZ,337181706,799000.0,"ul. Kinowa, Grochów, Praga-Południe, Warszawa, mazowieckie",42.5m²,3,miejskie,6/10,670 zł,do zamieszkania,wtórny,pełna własność,prywatny,1966,tak,blok,plastikowe,,balkon | pom. użytkowe | piwnica
https://www.otodom.pl/pl/oferta/aura-sky-sloneczne-wnetrze-ciche-mieszkanie-ID4xyec,263181707,1348000.0,"ul. Marii Rodziewiczówny, Gocławek, Praga-Południe, Warszawa, mazowieckie",71m²,3,miejskie,3/8,750 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2019,tak,apartamentowiec,,teren zamkniętymonitoring / ochrona,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/przestronne-65-mkw-nowoczesne-studiona-szaserow-ID4xNNd,428181707,1137000.0,"ul. Szaserów, Gocławek, Praga-Południe, Warszawa, mazowieckie",65.22m²,1,gazowe,3/3,780 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2015,tak,apartamentowiec,,monitoring / ochrona,balkon | ogródek | taras | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/dwustronne-ogrodek-klimatyzacja-parking-inwestycja-ua-by-ID4xNMw,108181707,645000.0,"ul. Przeworska, Grochów, Praga-Południe, Warszawa, mazowieckie",38m²,2,miejskie,parter/6,650 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2020,tak,blok,plastikowe,monitoring / ochronateren zamknięty,ogródek | garaż/miejsce parkingowe | piwnica
https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-na-pradze-poludnie-ID4xNqv,856181707,698000.0,"ul. Wspólna Droga, Grochów, Praga-Południe, Warszawa, mazowieckie",45.53m²,2,miejskie,1/3,800 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1963,nie,kamienica,plastikowe,,balkon | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/3-pokoje-2-tarasy-garaz-gotowe-do-zamieszkania-ID4xN3i,690181707,1690000.0,"ul. Jana Nowaka-Jeziorańskiego, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",74.2m²,3,miejskie,3/5,1 060 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2017,tak,blok,aluminiowe,monitoring / ochrona,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/3pokoje-w-zielonej-i-cichej-okolicy-dla-rodziny-ID4xz6o,808181707,749000.0,"Grochów, Praga-Południe, Warszawa, mazowieckie",50.8m²,3,miejskie,parter/2,"1 213,74 zł",do remontu,wtórny,pełna własność,biuro nieruchomości,1960,nie,blok,plastikowe,,ogródek | garaż/miejsce parkingowe | piwnica
https://www.otodom.pl/pl/oferta/idealne-dla-rodziny-2-2-do-wprowadzenia-ciche-ID4vaYj,642181707,995000.0,"ul. Boremlowska, Grochów, Praga-Południe, Warszawa, mazowieckie",58.61m²,3,inne,1/2,790 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2009,nie,blok,plastikowe,,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/sloneczne-2-pokoje-z-mozliwoscia-3-ID4tW2i,349181707,670000.0,"ul. Wspólna Droga, Grochów, Praga-Południe, Warszawa, mazowieckie",48m²,2,miejskie,4/11,800 zł,do remontu,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1967,tak,blok,plastikowe,,balkon | garaż/miejsce parkingowe | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/2-pokoje-przy-parku-nad-balatonem-w-wa-goclaw-ID4xJdz,511181707,675000.0,"ul. kard. Aleksandra Kakowskiego, Gocław, Praga-Południe, Warszawa, mazowieckie",39.1m²,2,miejskie,2/3,550 zł,brak informacji,wtórny,pełna własność,biuro nieruchomości,1999,nie,blok,,teren zamkniętymonitoring / ochrona,
https://www.otodom.pl/pl/oferta/kamienica-pkp-goclawek-sutereny-ID4xNJj,455181708,280000.0,"Gocławek, Praga-Południe, Warszawa, mazowieckie",28.17m²,1,kotłownia,brak informacji,0,do wykończenia,wtórny,udział,biuro nieruchomości,1939,nie,,plastikowe,,
https://www.otodom.pl/pl/oferta/kamienica-pkp-goclawek-sutereny-ID4xNJk,266181708,175000.0,"Gocławek, Praga-Południe, Warszawa, mazowieckie",17.92m²,1,kotłownia,brak informacji,0,do wykończenia,wtórny,udział,biuro nieruchomości,1939,nie,,plastikowe,,
https://www.otodom.pl/pl/oferta/kamionek-soho-3-pokoje-od-reki-ID4x82r,937181708,995000.0,"ul. Żupnicza 14, Kamionek, Praga-Południe, Warszawa, mazowieckie",58.62m²,3,miejskie,1/7,876 zł,do wykończenia,wtórny,pełna własność,biuro nieruchomości,2024,tak,apartamentowiec,,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/gotowe-loggia-rozkladowe-2-pok-saska-kepa-ID4xNFo,684181708,762000.0,"al. Aleja Stanów Zjednoczonych, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",47.67m²,2,miejskie,1/10,650 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1969,tak,blok,plastikowe,,balkon | piwnica
https://www.otodom.pl/pl/oferta/kawalerka-z-duza-loggia-cicha-winda-ID4xNDk,357181708,509000.0,"ul. Świętosławska, Grochów, Praga-Południe, Warszawa, mazowieckie",30m²,1,miejskie,2/11,650 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1978,tak,blok,plastikowe,monitoring / ochrona,piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/ostatnie-pietro-na-osiedlu-z-2017r-duze-pok-oddzielna-kuchnia-garaz-ID4xNAA,720181708,915000.0,"ul. Przeworska, Grochów, Praga-Południe, Warszawa, mazowieckie",51.52m²,2,miejskie,5/5,660 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2017,tak,blok,plastikowe,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | pom. użytkowe | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/przestronny-lokal-w-nowoczesnym-budynku-ID4wtPQ,360181708,1295000.0,"ul. Kokoryczki, Gocławek, Praga-Południe, Warszawa, mazowieckie",76.39m²,3,miejskie,1/6,1 000 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2021,tak,apartamentowiec,,monitoring / ochrona,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/sprzedam-3-pokojowe-mieszkanie-ID4wuz9,491181708,655000.0,"ul. Opinogórska, Gocław, Praga-Południe, Warszawa, mazowieckie",56m²,3,miejskie,3/5,600 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,prywatny,1971,tak,blok,plastikowe,monitoring / ochrona,balkon | garaż/miejsce parkingowe | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/studio-z-ogrodkiem-i-balkonem-nowe-budownictwo-praga-pd-ID4xuyI,368181708,598000.0,"ul. Ludwisarska, Gocławek, Praga-Południe, Warszawa, mazowieckie",35.33m²,1,miejskie,parter/4,470 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2007,tak,blok,plastikowe,monitoring / ochronateren zamknięty,balkon | ogródek | pom. użytkowe
https://www.otodom.pl/pl/oferta/z-widokiem-na-palac-kultury-komfortowe-mieszkanie-na-pradze-poludnie-ID4xtSV,807181708,720000.0,"ul. Międzyborska, Grochów, Praga-Południe, Warszawa, mazowieckie",48m²,3,miejskie,8/10,1 060 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1967,tak,blok,plastikowe,,balkon | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/3p-3-taras-24-5m2-wysoki-standard-ID4xvZy,968181708,1299000.0,"ul. Szaserów, Gocławek, Praga-Południe, Warszawa, mazowieckie",74m²,3,brak informacji,3/3,1 100 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2015,tak,apartamentowiec,plastikowe,monitoring / ochrona,taras | garaż/miejsce parkingowe | piwnica
https://www.otodom.pl/pl/oferta/3-pok-60-7-m2-do-wlasnej-aranzacji-loggia-ID4vzOP,693181709,835000.0,"Grzegorza Przemyka, Gocław, Praga-Południe, Warszawa, mazowieckie",60.7m²,3,miejskie,1/7,1 000 zł,do remontu,wtórny,pełna własność,biuro nieruchomości,1976,tak,blok,plastikowe,,balkon | oddzielna kuchnia | piwnica
https://www.otodom.pl/pl/oferta/2-pokoje-dobra-komunikacja-35-79-m2-parter-ID4vzLl,506181709,649000.0,"Grochów, Praga-Południe, Warszawa, mazowieckie",35.79m²,2,miejskie,parter/3,650 zł,brak informacji,wtórny,pełna własność,biuro nieruchomości,1953,nie,blok,plastikowe,,piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/wyjatkowy-apartament-dwa-poziomy-saska-kepa-ID4tkbI,349181708,3500000.0,"Saska Kępa, Praga-Południe, Warszawa, mazowieckie",149.5m²,3,gazowe,1/2,brak informacji,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1926,nie,kamienica,plastikowe,monitoring / ochrona,taras | garaż/miejsce parkingowe | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/4-pokoje-z-balkonem-na-goclawiu-ul-rechniewskiego-ID4vtn6,911181709,949999.0,"ul. Tadeusza Rechniewskiego, Gocław, Praga-Południe, Warszawa, mazowieckie",76.45m²,4,miejskie,3/4,1 400 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1987,nie,blok,plastikowe,,balkon | garaż/miejsce parkingowe | piwnica | oddzielna kuchnia
